ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
30155,"2025-10-18","2025-10-19",1,3,0,"N/A","N/A",316,0,"COP","Airbnb","",""
30153,"2025-10-18","2025-10-19",1,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30148,"2026-01-12","2026-01-16",4,4,3,"N/A","N/A",328,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMHZWCPWTT","3175"
30150,"2026-01-16","2026-01-17",1,4,3,"N/A","N/A",328,0,"COP","Airbnb","",""
30146,"2026-01-10","2026-01-13",3,3,0,"N/A","N/A",316,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMYWNCP9BN","8103"
30128,"2025-10-18","2025-10-21",3,4,3,"N/A","N/A",309,0,"COP","Airbnb","",""
30126,"2025-10-20","2025-10-24",4,2,1,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMBA994BBP","6360"
30104,"2025-11-06","2025-11-14",8,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMH498M9Y8","3468"
30102,"2026-01-27","2026-02-01",4,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMQS5MQ9FW","7981"
30100,"2025-10-30","2025-11-06",6,2,0,"N/A","N/A",12400,0,"COP","Airbnb","",""
30098,"2025-10-30","2025-11-06",6,4,3,"N/A","N/A",309,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMFTAFPDAT","1564"
30086,"2025-11-17","2025-11-22",5,2,0,"N/A","N/A",12421,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMW5CR3FMQ","4321"
30088,"2025-12-03","2025-12-14",11,2,0,"N/A","N/A",12421,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMM8KE8D5B","2200"
30090,"2026-01-27","2026-02-04",7,2,0,"N/A","N/A",12421,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMWAMTQEQA","0424"
30094,"2025-12-21","2026-01-17",26,2,0,"N/A","N/A",12421,0,"COP","Airbnb","",""
30096,"2026-04-16","2026-10-19",33,2,0,"N/A","N/A",12421,0,"COP","Airbnb","",""
30066,"2025-10-24","2025-10-28",4,2,1,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCCRN4HWC","6991"
30056,"2025-11-12","2025-11-21",9,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30058,"2025-12-25","2025-12-31",6,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30060,"2026-01-05","2026-01-12",7,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30062,"2026-01-12","2026-01-15",3,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30064,"2026-04-16","2026-10-19",33,4,3,"N/A","N/A",90,0,"COP","Airbnb","",""
30052,"2025-12-31","2026-01-05",4,4,3,"N/A","N/A",90,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM5S4MMTCT","4581"
30028,"2025-10-21","2025-10-26",5,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMS529ADX3","0954"
30030,"2025-10-31","2025-11-04",3,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMB3P4CCXC","4120"
30032,"2025-11-05","2025-11-09",4,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMTEW4WK3M","1776"
30034,"2025-11-14","2025-11-22",8,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMKHPJNS5B","5264"
30036,"2025-11-26","2025-12-04",8,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMD2NKBCBM","7387"
